Category: All categories

Week,machine learning: (United States)
2013-12-01,20
2013-12-08,21
2013-12-15,16
2013-12-22,14
2013-12-29,12
2014-01-05,20
2014-01-12,21
2014-01-19,22
2014-01-26,22
2014-02-02,19
2014-02-09,22
2014-02-16,22
2014-02-23,24
2014-03-02,24
2014-03-09,20
2014-03-16,23
2014-03-23,25
2014-03-30,23
2014-04-06,22
2014-04-13,26
2014-04-20,20
2014-04-27,24
2014-05-04,23
2014-05-11,21
2014-05-18,21
2014-05-25,19
2014-06-01,22
2014-06-08,22
2014-06-15,22
2014-06-22,22
2014-06-29,18
2014-07-06,20
2014-07-13,22
2014-07-20,21
2014-07-27,23
2014-08-03,25
2014-08-10,22
2014-08-17,24
2014-08-24,21
2014-08-31,26
2014-09-07,27
2014-09-14,26
2014-09-21,27
2014-09-28,25
2014-10-05,24
2014-10-12,26
2014-10-19,28
2014-10-26,27
2014-11-02,25
2014-11-09,26
2014-11-16,26
2014-11-23,21
2014-11-30,29
2014-12-07,28
2014-12-14,24
2014-12-21,19
2014-12-28,16
2015-01-04,24
2015-01-11,30
2015-01-18,29
2015-01-25,28
2015-02-01,30
2015-02-08,30
2015-02-15,28
2015-02-22,27
2015-03-01,31
2015-03-08,31
2015-03-15,30
2015-03-22,29
2015-03-29,31
2015-04-05,32
2015-04-12,40
2015-04-19,35
2015-04-26,34
2015-05-03,31
2015-05-10,30
2015-05-17,29
2015-05-24,30
2015-05-31,32
2015-06-07,33
2015-06-14,28
2015-06-21,32
2015-06-28,32
2015-07-05,28
2015-07-12,29
2015-07-19,32
2015-07-26,30
2015-08-02,30
2015-08-09,30
2015-08-16,30
2015-08-23,34
2015-08-30,34
2015-09-06,37
2015-09-13,39
2015-09-20,40
2015-09-27,39
2015-10-04,39
2015-10-11,39
2015-10-18,41
2015-10-25,39
2015-11-01,41
2015-11-08,48
2015-11-15,40
2015-11-22,30
2015-11-29,39
2015-12-06,41
2015-12-13,39
2015-12-20,30
2015-12-27,25
2016-01-03,35
2016-01-10,34
2016-01-17,36
2016-01-24,42
2016-01-31,40
2016-02-07,38
2016-02-14,40
2016-02-21,40
2016-02-28,39
2016-03-06,47
2016-03-13,41
2016-03-20,45
2016-03-27,49
2016-04-03,43
2016-04-10,45
2016-04-17,40
2016-04-24,43
2016-05-01,41
2016-05-08,42
2016-05-15,46
2016-05-22,44
2016-05-29,43
2016-06-05,45
2016-06-12,45
2016-06-19,47
2016-06-26,45
2016-07-03,33
2016-07-10,43
2016-07-17,37
2016-07-24,37
2016-07-31,45
2016-08-07,39
2016-08-14,40
2016-08-21,48
2016-08-28,45
2016-09-04,45
2016-09-11,48
2016-09-18,48
2016-09-25,51
2016-10-02,54
2016-10-09,54
2016-10-16,55
2016-10-23,60
2016-10-30,61
2016-11-06,53
2016-11-13,62
2016-11-20,48
2016-11-27,60
2016-12-04,62
2016-12-11,66
2016-12-18,53
2016-12-25,40
2017-01-01,55
2017-01-08,62
2017-01-15,63
2017-01-22,66
2017-01-29,71
2017-02-05,68
2017-02-12,71
2017-02-19,66
2017-02-26,71
2017-03-05,75
2017-03-12,73
2017-03-19,78
2017-03-26,83
2017-04-02,74
2017-04-09,82
2017-04-16,79
2017-04-23,80
2017-04-30,79
2017-05-07,76
2017-05-14,77
2017-05-21,79
2017-05-28,70
2017-06-04,79
2017-06-11,80
2017-06-18,79
2017-06-25,73
2017-07-02,69
2017-07-09,82
2017-07-16,79
2017-07-23,79
2017-07-30,81
2017-08-06,78
2017-08-13,72
2017-08-20,70
2017-08-27,83
2017-09-03,77
2017-09-10,87
2017-09-17,82
2017-09-24,84
2017-10-01,88
2017-10-08,93
2017-10-15,93
2017-10-22,92
2017-10-29,92
2017-11-05,97
2017-11-12,95
2017-11-19,72
2017-11-26,88
2017-12-03,97
2017-12-10,93
2017-12-17,73
2017-12-24,55
2017-12-31,69
2018-01-07,78
2018-01-14,84
2018-01-21,91
2018-01-28,88
2018-02-04,90
2018-02-11,90
2018-02-18,84
2018-02-25,97
2018-03-04,93
2018-03-11,94
2018-03-18,94
2018-03-25,94
2018-04-01,94
2018-04-08,92
2018-04-15,92
2018-04-22,99
2018-04-29,91
2018-05-06,100
2018-05-13,92
2018-05-20,93
2018-05-27,83
2018-06-03,94
2018-06-10,94
2018-06-17,91
2018-06-24,90
2018-07-01,77
2018-07-08,79
2018-07-15,81
2018-07-22,85
2018-07-29,83
2018-08-05,92
2018-08-12,82
2018-08-19,88
2018-08-26,90
2018-09-02,85
2018-09-09,91
2018-09-16,97
2018-09-23,94
2018-09-30,97
2018-10-07,96
2018-10-14,95
2018-10-21,96
2018-10-28,99
2018-11-04,94
2018-11-11,97
2018-11-18,75
